Organization,Legal Service,Area of Practice ,Address,Nearest SEPTA Station,Nearest Line(s),lat,long,Language (Bilingual or more) Yes/No,Targeted Community,Business Type,Business Phone Number,Email,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,url,Other
Legal Clinic for the Disabled,"Achieve inclusion, independence, and justice through free, quality legal assistance against issues impacting quality of life (independence and health).","Legal advice and representation for people with disabilities in consumer protection, advanced planning documents, family law, housing, and benefits.","1513 Race Street
Philadelphia, PA 19102",15th St/City Hall Station,"Market-Frankford Line, Broad Street Line",39.95681533,-75.16518476,No,LCD service eligible,Nonprofit,(215) 587-3158,N/A,9:00am-5:00pm,9:00am-5:00pm,N/A,N/A,N/A,N/A,N/A,Pro bono accessible
Military Assistance Project,"Free legal services for active duty, reserve, and veteran military personnel and their families in consumer protection and veterans' administrative law.",Veterans,"1101 Market Street, 11th Floor
Philadelphia, PA 19107",11th Street Station,Market-Frankford Line,39.95404646,-75.17465483,No,"Military/Veterans, Family members of deployed and mobilizing military personnel",Nonprofit,(215)238-6388,lris@philabar.org ,Application based,Application based,Application based,Application based,Application based,Application based,,
National Clearinghouse for the Defense of Battered Women,Legal defense and advocacy for battered women charged with crimes related to their abuse. No direct legal representation - provide technical assitance and support,Domestic violence and criminal defense.,"125 S. 9th Street
Suite 302
Philadelphia, PA 19107",8th St Station,Market-Frankford Line,39.94896585,-75.15547383,No,Women defendants,Nonprofit,(215) 351-0010,N/A,Institutional Mail-In / Crisis Hotline.,Institutional Mail-In / Crisis Hotline.,Institutional Mail-In / Crisis Hotline.,Institutional Mail-In / Crisis Hotline.,Institutional Mail-In / Crisis Hotline.,Institutional Mail-In / Crisis Hotline.,http://www.ncdbw.org/,
Nationalities Service Center,"To provide legal, education, senior and social services to immigrants and refugees.",Immigration and refugee law.,"1216 Arch Street
4th Floor
Philadelphia, PA 19107",11th St Station,Market-Frankford Line,39.95411183,-75.16038927,Yes,Low-income or indigent immigrants and refugees,Nonprofit,(215) 893-8400,help@nscphila.org,9:00am–5:00pm,9:00am–5:00pm,9:00am–5:00pm,9:00am–5:00pm,9:00am–5:00pm,Closed,http://www.nationalitiesservice.org/,
Pennsylvania Health Law Project,"Legal advocacy for low-income consumers, elderly, and persons with disabilities accessing publicly funded healthcare coverage and services.","Legal advocacy in Medicaid eligibility, managed care, community-based waivers, CHIP, charitable health care obligations, and health care policy for low-income programs.","Corn Exchange Building, 123 Chestnut Street
Suite 400
Philadelphia, PA 19106",2nd St Station,Market-Frankford Line,39.94860277,-75.14391455,No,Persons seeking to qualify for Pennsylvania's Medicaid/Medical Assistance and CHIP,Nonprofit,(215) 625-3990,staff@phlp.org,8:00am-8:00pm,8:00am-8:00pm,8:00am-8:00pm,N/A,N/A,N/A,http://www.phlp.org/,
Pennsylvania Immigration Resource Center,"Legal services, education, and advocacy for detained immigrants and survivors of violence in the community.","Immigration legal services in removal and deportation proceedings, asylum, and relief for survivors of violence including VAWA, T and U visas.","294 Pleasant Acres Rd, York, PA 17402",N/A,N/A,39.98900499,-76.64990446,No,FPL eligible,Nonprofit,(717) 600-8099,N/A,Appointment based,Appointment based,Appointment based,Appointment based,Appointment based,Appointment based,http://www.pirclaw.org/,
Pennsylvania Innocence Project,"Legal advocacy to exonerate the wrongfully convicted, prevent wrongful convictions, and support exonerees in their transition to freedom.","Represents individuals convicted in Pennsylvania of crimes they did not commit, currently incarcerated or on probation with at least seven years remaining.","1515 Market Street
Suite 300
Philadelphia, PA 19102
","15th Street, City Hall Station","Market-Frankford Line, Broad Street Line",39.95311686,-75.16593582,No,Pennsylvania Innocence Project reviewed,Nonprofit,(215) 204-4255,info@painnocence.org,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,Digital Intake / Centralized Hotline Only.,http://www.innocenceprojectpa.org/,
Pennsylvania Institutional Law Project,Free legal assistance in civil matters,Civil legal matters of incarcerated or institutionalized low-income people.,"718 Arch Street
Suite 304
Philadelphia, PA 19106",8th St Station,"Market-Frankford Line, Broad-Ridge Spur",39.95296706,-75.1524241,No,Low-income indivduals who have been incarcerated or institutionalized,Nonprofit,(215) 925-2966,N/A,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,N/A,http://www.pailp.org/,Applicants only accepted through the mail
Pennsylvanians for Modern Courts,"Court watchdog advancing judicial reform, public confidence, and elimination of bias in Pennsylvania courts through advocacy, education, and policy reform.","Specializes in judicial discipline, court financing, judicial selection reform, jury system improvement, and elimination of bias in Pennsylvania courts.","Two Penn Center, 1500 John F. Kennedy Bouelvard
Suite 1140
Philadelphia, PA 19102",Walnut–Locust Station,Broad Street Line,39.9536159,-75.16576722,No,Pennsyvanian persons and businesses,Nonprofit,(215) 569-1150,info@pmconline.org,Appointment based,Appointment based,Appointment based,Appointment based,Appointment based,Appointment based,http://www.pmconline.org/,
Philadelphia Bar Association Lawyer Referral & Information Service,"Referrals to experienced, insured, and licensed private attorneys for those who can afford legal representation or have a contingent fee matter.",All civil and criminal matters,"1101 Market Street
10th Floor
Philadelphia, PA 19107",11th St Station,Market-Frankford Line,39.95231796,-75.15853693,No,Modest Means Program eligible,Bar Association,(215) 238-6333,LRIS@philabar.org,9:00am-4:00pm,9:00am-4:00pm,9:00am-4:00pm,9:00am-4:00pm,9:00am-4:00pm,N/A,http://www.philadelphiabarlawyers.com,
Philadelphia Eviction Prevention Project's Help Center,"Free legal information, advice, and representation for low-income individuals facing eviction and rental housing issues in Philadelphia",Landlord tenant issues,"Municipal Court, 1339 Chestnut Street
10th Floor
Philadelphia, PA 19107",11th St Station,Market-Frankford Line,39.95106366,-75.16301482,Yes,Philadelphians and whose income is 200% of the federal poverty level or below,Nonprofit,(267) 443-2500,N/A,Application based,Application based,Application based,Application based,Application based,Application based,http://www.phillytenant.org,
Philadelphia Lawyers for Social Equity,"Free legal advice and representation for low-income Philadelphians seeking expungements, pardons, and relief from criminal records through litigation, education, and advocacy.","Criminal records: removing them (expungements and pardons), and helping clients minimize the collateral damage they cause (employment, housing, credit, health care, etc)","1501 Cherry Street
Philadelphia, PA 19102",Spring Garden Station (MFL) or Broad–Spring Garden Station (BSL),"Market-Frankford Line, Broad Street Line",39.95634371,-75.16492752,No,Income may be no greater than 200% of the Federal Poverty Guidelines,Nonprofit,(267) 519-5323,info@plsephilly.org,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,http://www.plsephilly.org,
Philadelphia Legal Assistance,"legal services, advice, and referrals for low-income individuals, with a focus on client education and empowerment.","Unemployment compensation, family law, housing, income taxes, public benefits, personal legal matters, and farmworker rights including employment discrimination, housing, and immigration relief.","718 Arch Street
Suite 300N
Philadelphia, PA 19106-1535",8th St Station,Market-Frankford Line,39.95301129,-75.1523999,Yes,Low-income,Nonprofit,(215) 981-3800,N/A,9:30am-12:00pm,9:30am-12:00pm,9:30am-12:00pm,9:30am-12:00pm,N/A,N/A,http://www.philalegal.org/,Residents or cases based in Philadelphia
Philadelphia Volunteer Lawyers for the Arts (PVLA),"Free legal services, knowledge, and resources for underserved artists and arts organizations in the Philadelphia region.","Legal services for artists and arts organizations in intellectual property, copyright, contracts, nonprofit law, employment, immigration, tax, and a broad range of arts-related legal matters.","1315 Walnut Street
Suite 300
Philadelphia, PA 19107",Walnut–Locust Station,Broad Street Line,39.94946429,-75.16296002,No,Pro bono through PVLA,Nonprofit,(267) 416-8940,pvlalegal@pvla.org,Appointment based,Appointment based,Appointment based,Appointment based,Appointment based,Appointment based,https://pvla.org/,
Philadelphia Volunteers for the Indigent Program ,Volunteer legal services and access to justice for low-income Philadelphians through community resources.,"Volunteer legal services in family law, housing, income maintenance, and community economic development for nonprofits and small businesses.","1500 Walnut Street
Suite 400
Philadelphia, PA 19102",Walnut–Locust Station,Broad Street Line,39.94950882,-75.16624432,No,"Low-income individuals, nonprofits, and small businesses ",Nonprofit,(215) 523-9550,phillyvip@phillyvip.org,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,https://www.phillyvip.org/,
Regional Housing Legal Services,"Free legal services and technical assistance for affordable housing development, economic opportunity, and utility access in underserved Pennsylvania communities.","Legal services in affordable housing development, economic development, nonprofit law, and policy advocacy for low-income communities and community-based organizations in Pennsylvania.","2 S. Easton Road
Glenside, PA 19038",Glenside Station,Regional Rail (Lansdale/Doylestown Line),40.10182381,-75.1528887,No,Lower-income organizations,Nonprofit,(215) 572-7300,N/A,online intake form,online intake form,online intake form,online intake form,online intake form,online intake form,http://rhls.org/,
Rutgers-Camden School of Law,Public interest ,General pro bono ,"217 N. Fifth Street
Camden, NJ 08102-1203", 8th & Market Station,PATCO Speedline,39.94760877,-75.12013589,No,Public,Law School Clinic,(856) 225-6608,N/A,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,https://camlaw.rutgers.edu/lawyering-program,
SeniorLAW Center,"Legal services, community education, and advocacy for older adults on local, state, and national levels.","Legal services for older adults in housing, elder abuse, domestic violence, family law, advance planning, and consumer protection statewide.","1650 Arch Street
Suite 1820
Philadelphia, PA 19103",15th St/City Hall Station,"Market-Frankford Line, Broad Street Line",39.95485438,-75.16780542,Yes,Older individuals,Nonprofit,(215) 988-1244,info@seniorlawcenter.org,10:00am–12:00pm (phone),9:00am–12:00pm (walk-in); 10:00am–12:00pm (phone),9:00am–12:00pm (walk-in); 10:00am–12:00pm (phone),9:00am–12:00pm (walk-in); 10:00am–12:00pm (phone),Closed,Closed,http://seniorlawcenter.org/,Offer monthly clinics
Support Center for Child Advocates,"Legal advocacy for child abuse and neglect victims to secure safety, justice, and permanent nurturing environments.",Pro bono legal and social service advocacy for abused and neglected children in civil dependency and criminal court proceedings.,"1617 John F. Kennedy Boulevard
Suite 1200
Philadelphia, PA 19103",Suburban Station,Regional Rail,39.95436611,-75.1673694,No,Youth in need of support,Nonprofit,(267) 546-9200,frontdesk@sccalaw.org,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,N/A,https://www.sccalaw.org/,
Temple University Beasley School of Law Elderly Law Project,Legal assistance to senior citizens,"Public benefits, Social security, SSI, Disability, Medicare, Medical Assistance, Food stamps, Veteran’s Benefits","1719 N. Broad Street
Philadelphia, PA 19122",Cecil B. Moore Station,Broad Street Line,39.98005996,-75.15692553,No,60 and over and live in Philadelphia.,Law School Clinic,(215) 204-6887,N/A,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,9:00am-12:00pm,N/A,N/A,
Temple University Beasley School of Law Legal Aid Office,Free legal advice and representation in civil matters provided by supervised law students as a community service and clinical education program.,"Family law litigation and legal advocacy for individuals with cancer, HIV, and physical disabilities in matters including custody, support, SSI, life planning, and medical insurance.","1719 North Broad Street
Philadelphia, PA 19122",Cecil B. Moore Station,Broad Street Line,39.98004352,-75.15687189,No,Low-income,Law School Clinic,( 215) 204-1800,N/A,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,https://sites.temple.edu/tlao/for-our-clients/,
Tenant Union Representative Network,Addressing various tenant issues for free.,"Evictions, tenant unions, leasing and repairs","The Land Title Building, 100 S. Broad Street
8th Floor
Philadelphia, PA 19110",Walnut–Locust Station,Broad Street Line,39.95174236,-75.1648194,No,Tenants,Nonprofit,(215) 940-3900,N/A,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,N/A,http://www.rturn.net/,Offers workshops
The Public Interest Law Center,"Litigation, education, and advocacy to advance civil, social, and economic rights for communities facing discrimination, inequality, and poverty in the Philadelphia region.","Legal services in healthcare access, education equity, environmental justice, housing discrimination, employment rights, and voting rights for underserved communities in the Philadelphia region","1500 John F. Kennedy Bouelvard
Suite 802
Philadelphia, PA 19102",15th St/City Hall Station,"Market-Frankford Line, Broad Street Line",39.95372915,-75.16593082,Yes,Low-income,Nonprofit,(215) 627-7100,N/A,Appointment based,Appointment based,Appointment based,Appointment based,Appointment based,Appointment based,http://www.pubintlaw.org/,
University of Pennsylvania Law School Gittis Center for Clinical Legal Studies,Clinical legal education program providing legal services to clients and underserved communities while training law students in professional skills and values.,"Supervised student representation in housing, consumer debt, wage theft, employment, social security disability, civil rights, and civil forfeiture, with community legal education.","3501 Sansom Street
Philadelphia, PA 19104-6204",34th St Station,Market-Frankford Line,39.95405896,-75.1932583,No,Low-income,Law School Clinic,(215) 898-8427,N/A,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,https://www.law.upenn.edu/clinic,"Accepts cases by phone intake only, year-round except May through August. New cases accepted in September and January. Financial eligibility and case type screening required. Educational value is taken into consideration for law students."
"Villanova University Charles Widger School of Law, Villanova Clinical Program",Free legal representation to individuals by law students working under close faculty supervision.,CARES (asylum) Clinic; Civil Justice Clinic; Clinic for Law & Entrepreneurship; Farmworker Legal Aid Clinic; Federal Tax Clinic; Health Law Clinic,"299 North Spring Mill Road
Villanova, PA 19085",Villanova Station,Regional Rail (Paoli/Thorndale Line),40.03864168,-75.339065,No,Under-represented individuals,Law School Clinic,(610) 519-5894,N/A,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,http://www.law.villanova.edu/academics/clinical%20programs.aspx,Referrals & appointments required. No walk-ins. Cases are screened for case type & financial eligibility & are selected for their educational value to the student-lawyers. The office operates year-round but only accepts cases during the academic year.
"Widener University Delaware Law School, Clinical Programs",Clinical legal education program providing legal services.,"Environmental law clinic addressing permits, pollution, land use, and zoning; Veterans law clinic providing free representation for veterans appealing denied compensation claims to the Board of Veterans Appeals and federal courts.","4601 Concord Pike
Wilmington, DE 19803",N/A,N/A,39.81754755,-75.54645778,No,Under-represented individuals,Law School Clinic,(302) 477-2162,N/A,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,Academic Calendar Dependent / Appointment Only,https://delawarelaw.widener.edu/current-students/jd-academics/experiential-courses/clinics/,"By phone, Monday through Friday 9:30am – 5pm. Client will speak with Clinic Director about situation to determine if Clinic can assist client."
Women Against Abuse Center,"Free legal services for domestic violence victims relating to protection from abuse, custody, and support matters.","Domestic violence, PFA, custody and support","100 South Broad Street
5th Floor
Philadelphia, PA 19110",City Hall Station,"Broad Street Line, Market-Frankford Line",39.95053144,-75.16442892,No,Victims of abuse,Nonprofit,(215) 686-7082,N/A,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,N/A,http://www.womenagainstabuse.org/,
Women's Law Project,"Litigation, direct representation, policy advocacy, and public education to advance the rights of women, girls, and LGBTQ+ individuals in Pennsylvania and beyond.","Reproductive rights, abortion access, gender and pregnancy discrimination, sexual harassment, equal pay, athletic equity, and court reform. Does not handle divorce, custody, or protection from abuse matters.","125 S. 9th Street
Suite 300
Philadelphia, PA 19107",8th St Station,Market-Frankford Line,39.94905397,-75.15523779,No,Women in need of support,Nonprofit,(215) 928-9801,info@womenslawproject.org,12:00pm-2:00pm,9:00am-11am,N/A,3:00pm-5:00pm,12:00pm-2:00pm,N/A,https://www.womenslawproject.org/,
Youth Sentencing & Reentry Project (YSRP),"Legal advocacy and direct services for youth prosecuted as adults and juvenile lifers, including mitigation, resentencing, reentry support, and connections to education, healthcare, housing, and employment resources.","Serves low-income youth and juvenile lifers in Philadelphia, Delaware, and Montgomery Counties who qualify for public defense services but are represented by court-appointed counsel.","1528 Walnut Street
Suite 515
Philadelphia, PA 19102",Walnut–Locust Station,Broad Street Line,39.94959499,-75.16734093,No,Low-income youth,Nonprofit,(267) 703-8046,info@ysrp.org,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,Variable Off-Site Clinics / Direct Referral.,N/A,
